Название гранта;Ссылка;Описание;Дедлайн
Конкурс на предоставление из федерального бюджета грантов в форме субсидий на оказание государственной поддержки создания и развития центров трансфера технологий, осуществляющих коммерциализацию результатов интеллектуальной деятельности научных организаций и образовательных организаций высшего образования;https://guap.ru/science/grants-item?id=856;Министерство науки и высшего образования Российской Федерации проводит конкурс на предоставление из федерального бюджета грантов в форме субсидий на оказание государственной поддержки создания и развития центров трансфера технологий, осуществляющих коммерциализацию результатов интеллектуальной деятельности научных организаций и образовательных организаций высшего образования (далее - конкурс, грант) в рамках федерального проекта «Развитие масштабных научных и научно-технологических проектов по приоритетным исследовательским направлениям» национального проекта «Наука и университеты».;Прием заявок до 19.08.2021 г.
Конкурсный отбор 2021 года для участия в программе государственной поддержки российских университетов «Приоритет 2030»;https://guap.ru/science/grants-item?id=855;Объявлен старт конкурсного отбора для участия в программе государственной поддержки российских университетов «Приоритет 2030».;Прием заявок до 6.08.2021 г.
Конкурс «УМНИК-Электроника» 2021;https://guap.ru/science/grants-item?id=854;Фонд содействия инновациям (Группа ВЭБ.РФ) открывает прием заявок на конкурс «УМНИК-Электроника» в рамках программы Фонда содействия инновациям «Участник молодёжного научно-инновационного конкурса» («УМНИК»).;Прием заявок до 20.09.2021 г.
Гранты Президента Российской Федерации для обучающихся по программам магистратуры в 2021/22 учебном году;https://guap.ru/science/grants-item?id=850;Российские абитуриенты магистратуры, планирующие поступление на обучение по программам магистратуры, могут претендовать на получение грантов Президента Российской Федерации.;Прием заявок до 20.08.2021 г.
XХII Всероссийский конкурс «Инженер года» 2021;https://guap.ru/science/grants-item?id=852;Российский Союз научных и инженерных общественных объединений, Международный Союз научных и инженерных общественных объединений, Академия инженерных наук имени А.М. Прохорова, Межрегиональный общественный фонд содействия научно-техническому прогрессу объявляют XХII Всероссийский конкурс «Инженер года-2021» по результатам деятельности в 2021 году инженеров, занятых на предприятиях, в организациях и учреждениях различных форм собственности.;Прием заявок до 15.11.2021 г.
Молодежная премия «Надежда России» в области науки и техники за 2021 год;https://guap.ru/science/grants-item?id=848;Молодежная премия Российского Союза научных и инженерных общественных объединений (РосСНИО) «Надежда России» в области науки и техники является высшим признанием со стороны научно-технической общественности страны достижений молодых ученых и специалистов в развитии научно-технического прогресса в своей области профессиональной деятельности.;Прием заявок до 15.10.2021 г.
Конкурс 2021 года на право получения именных стипендий Правительства Санкт-Петербурга студентам;https://guap.ru/science/grants-item?id=846;Комитет по науке и высшей школе Санкт-Петербурга проводит конкурсы 2021 года на право получения именных стипендий Правительства Санкт-Петербурга студентам образовательных организаций высшего образования и среднего профессионального образования;Прием заявок до 17.08.2021 г.
"Конкурс технических решений в области разработки высокоэнергоемких аккумуляторов (""Сапфир"")";https://guap.ru/science/grants-item?id=844;"Фонд перспективных исследований объявляет прием заявок на участие в открытом конкурсе на лучшее техническое решение в области разработки высокоэнергоемких аккумуляторов для систем электродвижения (шифр ""Сапфир"").";Прием заявок завершен.
Конкурс 2021 года по программе «Коммерциализация» (XIV очередь);https://guap.ru/science/grants-item?id=845;Фонд содействия инновациям объявляет о начале приема заявок по программе «Коммерциализация» (XIV очередь).;Прием заявок до 2.08.2021 г.
Российская премия в области интеллектуальной собственности IP Russia Awards (IPRA) 2021;https://guap.ru/science/grants-item?id=842;Открыт прием заявок на соискание российской премии в области интеллектуальной собственности IP Russia Awards (IPRA) 2021.;Прием заявок до 30.09.2021 г.
Всероссийский марафон онлайн-хакатонов «DIGITAL SUPERHERO» 2021;https://guap.ru/science/grants-item?id=836;Министерство экономики Республики Татарстан информирует о том, что в период с мая по сентябрь 2021 года под эгидой Международного форума «Kazan Digital Week – 2021» и при поддержке Правительства Республики Татарстан, ПАО «Ак Барс» Банк, ПАО «Таттелеком» и ГК «Innostage» состоится марафон онлайн-хакатонов «DIGITAL SUPERHERO».;Прием заявок до 1.09.2021 г.
Конкурс малых отдельных научных групп (совместно с регионами РФ). Гранты 2022-2023 гг;https://guap.ru/science/grants-item?id=825;Российский научный фонд (РНФ) сообщает о проведении конкурса малых отдельных научных групп (совместно с регионами РФ).;Прием заявок до 15.10.2021 г.
Конкурс отдельных научных групп (совместно с регионами РФ). Гранты 2022-2024 гг;https://guap.ru/science/grants-item?id=826;Российский научный фонд сообщает о проведении конкурса отдельных научных групп (совместно с регионами РФ).;Прием заявок до 15.10.2021 г.
VI Всероссийский конкурс на лучший студенческий диплом «Be First» (2021 год);https://guap.ru/science/grants-item?id=821;Издательство «Директ-Медиа» совместно с компанией Антиплагиат, журналом «Университетская книга» и компанией НЭИКОН объявляет VI Всероссийский конкурс на лучший студенческий диплом «Be First».;Прием заявок завершен.
"Международный конкурс молодых ученых в сфере интеллектуальной собственности ""Интеллект"" 2021";https://guap.ru/science/grants-item?id=820;"Федеральная служба по интеллектуальной собственности (Роспатент) и Российская государственная академия интеллектуальной собственности (РГАИС) с целью интеграции образовательной и научной деятельности в Год науки и технологий проводят Международный конкурс молодых ученых с сфере интеллектуальной собственности ""Интеллект""";Прием заявок до 30.09.2021 г.
Премии Президента в области науки и инноваций для молодых учёных за 2021 год;https://guap.ru/science/grants-item?id=818;С 15 апреля 2021 года Совет при Президенте Российской Федерации по науке и образованию начинает приём документов на соискание премии Президента в области науки и инноваций для молодых учёных за 2021 год.;Прием заявок до 15.10.2021 г.
Конкурсы РАН на соискание золотых медалей и премий имени выдающихся ученых, проводимые в 2021 году;https://guap.ru/science/grants-item?id=525;В целях поощрения ученых за научные труды, научные открытия и изобретения, имеющие важное значение для науки и практики, Российская академия наук объявляет конкурсы 2021 года на соискание золотых медалей и премий имени выдающихся ученых.;Прием заявок до 30.09.2021 г.
Конкурс в области искусственного интеллекта Up Great 2020-2022;https://guap.ru/science/grants-item?id=384;В рамках серии технологических конкурсов Up Great РВК, АСИ и Фондом «Сколково» запущено соревнование для разработчиков искусственного интеллекта.;Прием заявок до 30.12.2022 г.
