Название;Место;Дата проведения;Дедлайн;Область науки;Почта;Ссылка
Международная научно-практическая конференция “Актуальные проблемы развития науки, образования и общества”;Украина;23.07.21 — 23.07.21;23.07.2021;Политология;nauka.economics@gmail.com;none
Международная научно-практическая конференция “Актуальные проблемы развития науки, образования и общества”;Украина;23.07.21 — 23.07.21;23.07.2021;Искусствоведение;nauka.economics@gmail.com;none
Международная научно-практическая конференция “Актуальные проблемы развития науки, образования и общества”;Украина;23.07.21 — 23.07.21;23.07.2021;Биологические;nauka.economics@gmail.com;none
Международная научно-практическая конференция “Актуальные проблемы развития науки, образования и общества”;Украина;23.07.21 — 23.07.21;23.07.2021;Исторические и археология;nauka.economics@gmail.com;none
Международная научно-практическая конференция “Актуальные проблемы развития науки, образования и общества”;Украина;23.07.21 — 23.07.21;23.07.2021;Юридические;nauka.economics@gmail.com;none
Международная научно-практическая конференция “Актуальные проблемы развития науки, образования и общества”;Украина;23.07.21 — 23.07.21;23.07.2021;Экология;nauka.economics@gmail.com;none
Міжнародна науково-практична конференція “Досягнення та перспективи розвитку: педагогіки, філології, медицини, психології та права”;Украина;23.07.21 — 23.07.21;23.07.2021;Филологические;nauka.economics@gmail.com;none
Международная научно-практическая конференция “Актуальные проблемы развития науки, образования и общества”;Украина;23.07.21 — 23.07.21;23.07.2021;Технические;nauka.economics@gmail.com;none
Міжнародна науково-практична конференція “Досягнення та перспективи розвитку: педагогіки, філології, медицини, психології та права”;Украина;23.07.21 — 23.07.21;23.07.2021;Психологические;nauka.economics@gmail.com;none
Міжнародна науково-практична конференція “Актуальні проблеми розвитку науки, освіти та суспільства”;Украина;23.07.21 — 23.07.21;23.07.2021;Биологические;nauka.economics@gmail.com;none
"Международная научно-практическая конференция ""Достижения и перспективы развития: педагогики, филологии, медицины, психологии и права """;Украина;23.07.21 — 23.07.21;23.07.2021;Филологические;nauka.economics@gmail.com;none
12th ICTEL 2021 – International Conference on Teaching, Education & Learning, 26-27 July, Bali;Индонезия;26.07.21 — 27.07.21;24.07.2021;Педагогические;convener@eurasiaresearch.info;none
International Journal of Next-Generation Networks (IJNGN);Индия;01.09.21 — 02.09.21;24.07.2021;Компьютерные;ijngn@aircconline.com;none
2nd International Conference on Networks & IOT (NeTIOT 2021);Австралия;23.12.21 — 24.12.21;24.07.2021;Компьютерные;netiot@cst2021.org;none
2nd International Conference on VLSI & Embedded Systems (VLSIE 2021);Австралия;23.12.21 — 24.12.21;24.07.2021;Компьютерные;vlsie@cst2021.org;none
2nd International Conference on Cloud and Big Data (CLBD 2021);Австралия;23.12.21 — 24.12.21;24.07.2021;Архитектура;clbd@cst2021.org;none
10th International Conference on Natural Language Processing (NLP 2021);Австралия;23.12.21 — 24.12.21;24.07.2021;Компьютерные;nlp@cst2021.org;none
10th International Conference on Software Engineering and Applications (SEAPP 2021);Австралия;23.12.21 — 24.12.21;24.07.2021;Компьютерные;seapp@cst2021.org;none
3rd International Conference on Signal Processing, VLSI Design & Communication Systems (SVC 2022);Швейцария;22.01.22 — 23.01.22;24.07.2021;Компьютерные;svc@acsty2022.org;none
3rd International Conference on Big Data and Blockchain (BDAB 2022);Швейцария;22.01.22 — 23.01.22;24.07.2021;Компьютерные;bdab@acsty2022.org;none
3rd International Conference on Machine Learning and Soft Computing (MLSC 2022);Швейцария;22.01.22 — 23.01.22;24.07.2021;Компьютерные;mlsc@acsty2022.org;none
8th International Conference on Information Technology Convergence and Services (ITCSS 2022);Swaziland;22.01.22 — 23.01.21;24.07.2021;Технические;itcss@acsty2022.org;none
6th International Conference on Power and Renewable Energy (ICPRE 2021);Китай;17.09.21 — 20.09.21;25.07.2021;Науки о Земле;icpre@young.ac.cn;none
6th International Conference on Robotics and Vision (ICRV 2021);Великобритания;18.09.21 — 20.09.21;25.07.2021;Компьютерные;ICRV 2021;none
4th International Conference on Intelligent Robotics and Control Engineering (IRCE 2021);Великобритания;18.09.21 — 20.09.21;25.07.2021;Компьютерные;irce_con@163.com;none
4th International Conference on Renewable Energy and Environment Engineering(REEE 2021);Италия;27.08.21 — 30.08.21;25.07.2021;Науки о Земле;reee_conf@vip.163.com;none
3rd International Conference on Smart Grid Technologies (ICSGT 2021);Китай;17.09.21 — 20.09.21;25.07.2021;Технические;icsgt@young.ac.cn;http://www.icsgt.org
4th International Conference on Environment and Ocean Engineering (ICEOE 2021);Китай;24.09.21 — 26.09.21;25.07.2021;Науки о Земле;iceoe@cbees.net;http://www.iceoe.org/
12th International Conference on Environmental Science and Technology (ICEST 2021);Китай;24.09.21 — 26.09.21;25.07.2021;Науки о Земле;icest@cbees.org;http://www.icest.org/
4th International Conference on Renewable Energy and Power Engineering (REPE 2021);Китай;09.10.21 — 11.10.21;25.07.2021;Технические;repe@zhconf.ac.cn;http://www.repe.net
10th International Conference on Computer Technologies and Development (ICCTD 2021);Испания;15.10.21 — 17.10.21;25.07.2021;Компьютерные;icctd@iacsitp.com;none
4th International Conference on Information, Networks and Communications (ICINC 2021);Испания;15.10.21 — 17.10.21;25.07.2021;Компьютерные;icinc@iap.org;none
9th International Conference on Environment Pollution and Prevention (ICEPP 2021);Австралия;19.11.21 — 21.11.21;25.07.2021;Науки о Земле;icepp@cbees.net;none
8th International Conference on Environmental Systems Research (ICESR 2021);Австралия;19.11.21 — 21.11.21;25.07.2021;Науки о Земле;icesr@cbees.net;http://www.icesr.org/
2nd International Conference on Power Engineering (ICPE 2021);Китай;09.12.21 — 11.12.21;25.07.2021;Технические;icpe@sciei.org;none
2nd World Symposium on Electrical Systems (WSES 2021);Китай;09.12.21 — 11.12.21;25.07.2021;Технические;wses@sciei.org;none
Международный научно-исследовательский конкурс «Лучшие научные исследования 2021»;Россия;27.07.21 — 27.07.21;25.07.2021;Технические;konf@naukaip.ru;none
XLVII Международная научно-практическая конференция «Фундаментальные и прикладные научные исследования: актуальные вопросы, достижения и инновации»;Россия;30.07.21 — 30.07.21;25.07.2021;Технические;konf@naukaip.ru;none
Int'l Conference on Advanced Functional Materials (CAFM 2021);Китай;20.08.21 — 22.08.21;26.07.2021;Технические;wsaugust@126.com;none
Int'l Conference on Light Alloys and Metal Materials (LAMM 2021);Китай;20.08.21 — 22.08.21;26.07.2021;Технические;wsaugust@126.com;none
Int'l Conference on Composite Materials and Nanotechnology (CMN 2021);Китай;20.08.21 — 22.08.21;26.07.2021;Технические;wsaugust@126.com;none
Int'l Conference on Heat Transfer and Thermophysics (HTT 2021);Китай;20.08.21 — 22.08.21;26.07.2021;Технические;wsaugust@126.com;none
Int'l Symposium on Superconductivity and Magnetism (ISSM 2021);Китай;20.08.21 — 22.08.21;26.07.2021;Технические;wsaugust@126.com;none
The 4th Int'l Conference on Acoustics, Vibration and Noise Control (CAVNC 2021);Китай;20.08.21 — 22.08.21;26.07.2021;Технические;wsaugust@126.com;none
Int'l Symposium on Nuclear Science and Applications (SNSA 2020);Китай;20.08.21 — 22.08.21;26.07.2021;Технические;wsaugust@126.com;none
Int'l Conference on Biomedical Materials (ICBM 2021);Китай;20.08.21 — 22.08.21;26.07.2021;Технические;wsaugust@126.com;none
5th Bali – International Conference on Social Science & Humanities (ICSSH), 27-28 July 2021;Индонезия;27.07.21 — 28.07.21;26.07.2021;Социологические;convener@eurasiaresearch.info;none
2021 – XIth International Conference on Business, Economics, Law, Language & Psychology (ICBELLP), 28-29 July, Bali;Индонезия;28.07.21 — 29.07.21;26.07.2021;Экономические;convener@eurasiaresearch.info;none
6th International Conference on Reproductive Health, Embryology and Fertility;Великобритания;28.07.21 — 28.07.21;26.07.2021;Медицинские;reproductionfertility@globalconferencemeet.com;none
III Международной научно-практической конференции EXPERIMENTAL AND THEORETICAL RESEARCH IN MODERN SCIENCE 26-28 июля, 2021 Кишинев, Молдова;Молдова;26.07.21 — 28.07.21;26.07.2021;Биологические;info@interconf.top;none
Международная научная конференция «Вопросы юриспруденции в сфере развития правовой грамотности и правосознания граждан»;Россия;27.07.21 — 27.07.21;26.07.2021;Юридические;Почта для отправки материалов;none
5th ICSTR Bali – International Conference on Science & Technology Research, 29-30 July 2021;Индонезия;29.07.21 — 30.07.21;27.07.2021;Технические;convener@eurasiaresearch.info;none
XLIX международная заочная научно-практическая конференция «Педагогика и психология в современном мире: теоретические и практические исследования»;Россия;27.07.21 — 27.07.21;27.07.2021;Педагогические;pedagogy@internauka.org;none
XII Международная научно-практическая конференция «Актуальные вопросы современной науки и образования»;Россия;27.07.21 — 27.07.21;27.07.2021;Технические;konf@naukaip.ru;none
XIII Международная научно-практическая конференция «Научные исследования молодых учёных»;Россия;27.07.21 — 27.07.21;27.07.2021;Технические;konf@naukaip.ru;none
Міжнародна науково-практична інтернет-конференція «П’ятдесят дев’яті економіко-правові дискусії»;Украина;27.07.21 — 27.07.21;27.07.2021;Экономические;spilnota.net.ua@ukr.net;none
Международная научная конференция «Развитие продуктивного взаимодействия психологии и педагогики в современном образовательном процессе»;Россия;28.07.21 — 28.07.21;27.07.2021;Педагогические;Электронная почта оргкомитета;none
2021 – 11th International Conference on Research in Life-Sciences & Healthcare (ICRLSH), 30-31 July, Bali;Индонезия;30.07.21 — 31.07.21;28.07.2021;Медицинские;convener@eurasiaresearch.info;none
Международный конкурс презентаций «Год науки – 2021»;Россия;29.07.21 — 29.07.21;28.07.2021;Биологические;Почта для отправки материалов;none
Webinar on Nutritional Biochemistry conference 2021;Великобритания;29.07.21 — 30.07.21;28.07.2021;Технические;Maryamnicolas2021@gmail.com;none
Международная научная конференция «Тенденции развития мировой экономики в XXI веке»;Россия;29.07.21 — 29.07.21;28.07.2021;Сельскохозяйственные;Почта для отправки материалов;none
"Міжнародна науково-практична конференція ""Актуальні проблеми економіки, фінансів, обліку та права: теорія і практика""";Украина;28.07.21 — 28.07.21;28.07.2021;Экономические;conf@economics.in.ua;none
Европейский журнал литературоведения и лингвистики. Номер 3/2021;Австрия;30.07.21 — 30.07.21;30.07.2021;Филологические;pub@ppublishing.org;none
Европейский журнал образования и прикладной психологии. Номер 3/2021;Австрия;30.07.21 — 30.07.21;30.07.2021;Педагогические;pub@ppublishing.org;none
Европейский журнал экономических наук и управления. Номер 3/2021;Австрия;30.07.21 — 30.07.21;30.07.2021;Экономические;pub@ppublishing.org;none
Европейский журнал юридических и политических наук. Номер 2/2021;Австрия;30.07.21 — 30.07.21;30.07.2021;Юридические;pub@ppublishing.org;none
5th International Conference on Communication and Information Systems (ICCIS 2021);Китай;15.10.21 — 17.10.21;30.07.2021;Компьютерные;iccisconference@vip.163.com;none
6th International Conference on Systems, Control and Communications (ICSCC 2021);Китай;15.10.21 — 17.10.21;30.07.2021;Технические;icscc_conference@163.com;none
IEEE 6th International Conference on Intelligent Transportation Engineering (IEEE ICITE 2021);Китай;17.09.21 — 19.09.21;30.07.2021;Технические;icite@zhconf.ac.cn;none
Euro-Global Conference on Biotechnology and Bioengineering (ECBB 2021);Италия;06.09.21 — 08.09.21;30.07.2021;Нанотехнологии;biotechnology@magnusmeetings.com;none
13th International Conference on Advanced Infocomm Technology (ICAIT 2021);Китай;15.10.21 — 17.10.21;30.07.2021;Технические;submission@icait.org;none
4th International Conference on Machine Learning and Machine Intelligence (MLMI 2021);Китай;17.09.21 — 19.09.21;30.07.2021;Компьютерные;mlmi@iacsit.net;none
4th International Conference on Artificial Intelligence and Pattern Recognition (AIPR 2021);Китай;17.09.21 — 19.09.21;30.07.2021;Компьютерные;aipr@iact.net;none
4th International Conference on Watermarking and Image Processing (ICWIP 2021);Китай;17.09.21 — 19.09.21;30.07.2021;Компьютерные;icwip@iact.net;none
5th International Conference on Building Materials and Materials Engineering (ICBMM 2021);Испания;24.09.21 — 26.09.21;30.07.2021;Технические;icbmm@cbees.net;none
5th International Conference on Structural and Civil Engineering (ICSCE 2021);Испания;24.09.21 — 26.09.21;30.07.2021;Технические;icsce@cbees.net;none
5th International Conference on Communication and Network Technology (ICCNT 2021);Франция;25.09.21 — 27.09.21;30.07.2021;Компьютерные;iccnt@iap.org;none
12th International Conference on Agriculture and Animal Science (ICAAS 2021);Вьетнам;22.10.21 — 24.10.21;30.07.2021;Сельскохозяйственные;caas@cbees.org;http://www.icaas.net
9th International Conference on Sustainable Environment and Agriculture (ICSEA 2021);Вьетнам;22.10.21 — 24.10.21;30.07.2021;Сельскохозяйственные;icsea@cbees.net;http://www.icsea.org/
14th International Conference on Advanced Computer Theory and Engineering (ICACTE 2021);Китай;17.09.21 — 19.09.21;30.07.2021;Технические;icacte@iacsit.org;none
6th International Conference on Control, Robotics and Cybernetics (CRC 2021);Китай;09.10.21 — 11.10.21;30.07.2021;Компьютерные;crc_contact@young.ac.cn;none
5th International Conference on Intelligent Manufacturing and Automation Engineering (ICIMA 2021);Китай;09.10.21 — 11.10.21;30.07.2021;Компьютерные;icima@young.ac.cn;http://www.icima.org/
10th International Conference on Power Science and Engineering (ICPSE 2021);Турция;21.10.21 — 23.10.21;30.07.2021;Технические;secretary@icpse.org;none
5th International Conference on Renewable Energy and Environment (ICREE 2021);Турция;21.10.21 — 23.10.21;30.07.2021;Науки о Земле;icree-icree@outlook.com;none
2021 International Conference on Computer, Communication and Vehicle Technology (CCVT 2021);Китай;17.09.21 — 19.09.21;30.07.2021;Компьютерные;ccvt@zhconf.ac.cn;http://www.ccvt.net
7th International Conference on Architecture, Materials and Construction (ICAMC 2021);Португалия;27.10.21 — 29.10.21;30.07.2021;Технические;icamc@cbees.net;none
2nd International Conference on Building Science, Technology and Sustainability (ICBSTS 2021);Португалия;27.10.21 — 29.10.21;30.07.2021;Технические;icbsts@cbees.net;none
3rd International Conference on System Reliability and Safety Engineering (SRSE 2021);Китай;22.10.21 — 24.10.21;30.07.2021;Технические;srse@sciei.org;http://srse.org/
6th International Conference on Integrated Circuits and Microsystems (ICICM 2021);Китай;22.10.21 — 24.10.21;30.07.2021;Технические;icicm@young.ac.cn;none
2021 Workshop on Electronics Communication Engineering (WECE 2021);Китай;22.10.21 — 24.10.21;30.07.2021;Технические;wece@young.ac.cn;none
2nd Asia Symposium on Signal Processing (ASSP 2021);Китай;12.11.21 — 14.11.21;30.07.2021;Компьютерные;assp_conf@outlook.com;none
2nd International Conference on Computer Communication and Information Systems (CCCIS 2021);Китай;12.11.21 — 14.11.21;30.07.2021;Компьютерные;cccis_general@163.com;none
5th International Conference on Frontiers of Sensors Technologies (ICFST 2021);Китай;12.11.21 — 15.11.21;30.07.2021;Технические;icfst@young.ac.cn;http://www.icfst.org
13th International Conference on Signal Processing Systems (ICSPS 2021);Китай;12.11.21 — 15.11.21;30.07.2021;Компьютерные;icsps@iacsit.org;none
8th International Conference on Soft Computing & Machine Intelligence (ISCMI 2021);Египет;26.11.21 — 27.11.21;30.07.2021;Компьютерные;sub@iscmi.us;none
9th International Conference on Information Technology: IoT and Smart City (ICIT 2021);Китай;22.12.21 — 25.12.21;30.07.2021;Компьютерные;icit@bmail.org;none
2nd International E-Conference on Cancer Science and Therapy;Великобритания;23.08.21 — 24.08.21;30.07.2021;Медицинские;contact@cancerresearchforum.com;https://cancerresearchforum.com/
2nd International E-Conference on Pharmacology and Toxicology;Великобритания;09.08.21 — 10.08.21;30.07.2021;Фармацевтические;pharmacology@urforum.org;none
2nd Global Big Data Engineering Symposium (GBDE 2022);Китай;07.01.22 — 09.01.22;30.07.2021;Компьютерные;gbde@academic.net;none
2nd Global Image Processing Symposium (GIPS 2022);Китай;07.01.22 — 09.01.22;30.07.2021;Компьютерные;gips_conf@163.com;none
14th International Conference on Computer Research and Development (ICCRD 2022);Китай;07.01.22 — 09.01.22;30.07.2021;Компьютерные;iccrd@zhconf.ac.cn;none
9th International Conference on Industrial Engineering and Applications (ICIEA 2022);Испания;12.01.22 — 14.01.22;30.07.2021;Технические;secretary_eu@iciea.org;none
4th international conference on Agriculture, Food and Aqua;Великобритания;30.08.21 — 30.08.21;30.07.2021;Сельскохозяйственные;ME Conferences;none
Международный научно-исследовательский конкурс «Актуальные вопросы науки 2021»;Россия;30.07.21 — 30.07.21;30.07.2021;Технические;konf@naukaip.ru;none
Международный научно-исследовательский конкурс «Advanced Science 2021»;Россия;30.07.21 — 30.07.21;30.07.2021;Технические;konf@naukaip.ru;none
III Международная научно-практическая конференция «Юридические науки: актуальные вопросы теории и практики»;Россия;30.07.21 — 30.07.21;30.07.2021;Юридические;konf@naukaip.ru;none
III Международная научно-практическая конференция «Педагогические науки: актуальные вопросы теории и практики»;Россия;30.07.21 — 30.07.21;30.07.2021;Педагогические;konf@naukaip.ru;none
III Международная научно-практическая конференция «Экономические науки: актуальные вопросы теории и практики»;Россия;30.07.21 — 30.07.21;30.07.2021;Экономические;konf@naukaip.ru;none
VII Международная научно-практическая конференция «Студенческие научные исследования»;Россия;30.07.21 — 30.07.21;30.07.2021;Технические;konf@naukaip.ru;none
II Международная научно-практическая конференция «Наука и современное образование: актуальные вопросы, достижения и инновации»;Россия;30.07.21 — 30.07.21;30.07.2021;Технические;konf@naukaip.ru;none
Международная научная конференция-конкурс «Мировое научное знание третьего тысячелетия»;Россия;31.07.21 — 31.07.21;30.07.2021;Технические;Почта для отправки материалов;none
13th ICTEL 2021 – International Conference on Teaching, Education & Learning, 02-03 August, Amsterdam;Нидерланды;02.08.21 — 03.08.21;31.07.2021;Педагогические;convener@eurasiaresearch.info;none
2021 International Conference on Smart Transportation and Future Mobility (CSTFM 2021);Германия;17.09.21 — 19.09.21;31.07.2021;Технические;Frankfurt, Germany;none
2021 International Conference on Transport and Smart Cities (ICoTSC 2021);Германия;17.09.21 — 19.09.21;31.07.2021;Технические;icotsc@iased.org;none
2021 International Conference on Transport and Smart Cities (ICoTSC 2021);Германия;17.09.21 — 19.09.21;31.07.2021;Технические;icotsc@iased.org;none
2021 5th International Conference on SmartRail, Traffic and Transportation Engineering (ICSTTE 2021);Германия;17.09.21 — 19.09.21;31.07.2021;Технические;icstte@iased.org;none
4th Edition of International Conference on Dentistry and Oral Health;Франция;27.09.21 — 29.09.21;31.07.2021;Медицинские;dentistry@magnusgroupllc.com;none
Euro-Global Conference on Biotechnology and Bioengineering (ECBB 2021);США;06.09.21 — 08.09.21;31.07.2021;Технические;biotechnology@magnusmeetings.com;none
16th International Conference on Intelligent Systems and Knowledge Engineering (ISKE 2021);Китай;26.11.21 — 28.11.21;31.07.2021;Компьютерные;iske2021@yaang.cn;none
"ІІІ Міжнародна науково-практична конференція ""Практичні та теоретичні питання розвитку науки та освіти""";Украина;30.07.21 — 31.07.21;31.07.2021;Физико-математические;lviv.nauka.forum@gmail.com;none
"ІІІ Міжнародна науково-практична конференція ""Практичні та теоретичні питання розвитку науки та освіти""";Украина;30.07.21 — 31.07.21;31.07.2021;Исторические и археология;lviv.nauka.forum@gmail.com;none
"ІІІ Міжнародна науково-практична конференція ""Практичні та теоретичні питання розвитку науки та освіти""";Украина;30.07.21 — 31.07.21;31.07.2021;Географические;lviv.nauka.forum@gmail.com;none
"ІІІ Міжнародна науково-практична конференція ""Практичні та теоретичні питання розвитку науки та освіти""";Украина;30.07.21 — 31.07.21;31.07.2021;Психологические;lviv.nauka.forum@gmail.com;none
"ІІІ Міжнародна науково-практична конференція ""Практичні та теоретичні питання розвитку науки та освіти""";Украина;30.07.21 — 31.07.21;31.07.2021;Физико-математические;lviv.nauka.forum@gmail.com;none
2nd Amsterdam – International Conference on Social Science & Humanities (ICSSH), 03-04 August 2021;Нидерланды;03.08.21 — 04.08.21;01.08.2021;Социологические;convener@eurasiaresearch.info;none
6th International Conference on Frontiers of Signal Processing (ICFSP 2021);Франция;09.09.21 — 11.09.21;01.08.2021;Технические;icfsp_general@outlook.com;none
21th International Conference on Communication Technology (IEEE ICCT 2021);Китай;13.10.21 — 16.10.21;01.08.2021;Компьютерные;submission@ieee-icct.org;none
2nd International Conference on Artificial Intelligence and Application Technologies (AIAT 2021);Китай;16.12.21 — 18.12.21;01.08.2021;Компьютерные;aiat_info@robotics.ac.cn;none
International Conference on Ecocriticism and Environmental Studies;Великобритания;16.10.21 — 17.10.21;01.08.2021;Науки о Земле;eco@lcir.co.uk;none
2022 Asia-Pacific Computer Technologies Conference (APCT 2022);Китай;07.01.22 — 09.01.22;01.08.2021;Компьютерные;apctconf@163.com;none
6th International Conference on Management Engineering, Software Engineering and Service Sciences (ICMSS 2022);Китай;07.01.22 — 09.01.22;01.08.2021;Компьютерные;icmss_icmss@163.com;none
5th International Conference on Big Data and Smart Computing (ICBDSC 2022);Япония;21.01.22 — 23.01.22;01.08.2021;Компьютерные;icbdsc@vip.163.com;none
