Название;Место;Дата проведения;Дедлайн;Почта;Организатор;Ссылка
"""Пространство, время и материя: эволюционная гармония или упорядоченный хаос""";Великобритания, Лондон;25  апреля -30  апреля ;24  апреля;info@gisap.eu;Всеукраинский Академический Союз (Украина);https://konferen.ru/preview/2010
"VI Международная научная конференция «Модернизация и инновационное развитие экономических систем: проблемы, стратегии, структурные изменения""";Россия, Москва;30  октября -31  октября ;30  сентября;ieg.rudn2014@gmail.com;"Российский университет дружбы народов (РУДН)
совместно с Университетом Ниццы – София Антиполис";https://konferen.ru/preview/2009
"IХ Международная научно-практическая конференция ""Достижения вузовской науки""";Россия, Новосибирск;18  апреля -18  апреля ;18  апреля;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/2007
"VI Международная научно-практическая конференция ""Сельскохозяйственные  науки и агропромышленный комплекс на рубеже веков""";Россия, Новосибирск;24  апреля -24  апреля ;24  апреля;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/2006
"IV Международная научно-практическая конференция ""Познание стран мира:  история, культура, достижения""";Россия, Новосибирск;17  апреля -17  апреля ;17  апреля;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/2005
"Одиннадцатая Международная научно-практическая конференция ""Информационное поле современной России: практики и эффекты""";Россия, Казань;16  октября -18  октября ;26  августа;rbakanov@yandex.ru;Институт массовых коммуникаций и социальных наук;https://konferen.ru/preview/2002
Международная (дистанционная) олимпиада по физике;Россия, Казань;25  апреля -30  апреля ;24  апреля;ontvor@yandex.ru;Общество Науки и Творчества;https://konferen.ru/preview/1998
XI Международная конференция по всем наукам «Уникальные исследования XXI века: прогрессивные процессы мировой научной мысли»;Россия, Казань;30  апреля -30  апреля ;29  апреля;ontvor@yandex.ru;Общество Науки и Творчества;https://konferen.ru/preview/1995
XI Международная конференция «Роль психологии и педагогики в культурном развитии Человека и Общества современности»;Россия, Казань;26  апреля -26  апреля ;25  апреля;ontvor@yandex.ru;Общество Науки и Творчества;https://konferen.ru/preview/1993
XI Международная конференция «Совершенствование правовой культуры как основа построения гражданского общества»;Россия, Казань;25  апреля -25  апреля ;24  апреля;ontvor@yandex.ru;Общество Науки и Творчества;https://konferen.ru/preview/1992
XI Международная конференция «Культурологическое знание как основной компонент развития современной научной мысли»;Россия, Казань;24  апреля -24  апреля ;23  апреля;ontvor@yandex.ru;Общество Науки и Творчества;https://konferen.ru/preview/1991
Актуальные проблемы экономики и управления на предприятиях машиностроения, нефтяной и газовой промышленности в условиях инновационно-ориентированной экономики;Россия, Пермь;01  мая -01  мая ;15  апреля;conferencePNRPU2014@yandex.ru;83 422 198 264;https://konferen.ru/preview/1990
Регламентация правовых отношений в образовательных организациях в свете новой редакции ГК РФ;Россия, Санкт-Петербург;27  мая -30  мая ;16  мая;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1989
Кадровая политика и работа с персоналом в образовательных учреждениях;Россия, Санкт-Петербург;19  мая -23  мая ;16  мая;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1988
Эффективное управление кафедрой современного ВУЗа;Россия, Санкт-Петербург;19  мая -23  мая ;16  мая;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1987
Теория и практика измерения и мониторинга компетенций  и других латентных переменных в образовании;Россия, Анапа;19  июня -29  марта ;10  апреля;rasch_measurement@mail.ru;Кубанский государственный университет;https://konferen.ru/preview/1986
III Международная «Система менеджмента качества в вузе: образованность, конкурентоспособность, здоровье»;Россия, Челябинск;15  апреля -15  апреля ;15  апреля;quality.uralgufk@inbox.ru;Уральский государственный университет физической культуры;https://konferen.ru/preview/1978
"IX Всероссийская научно-техническая конференция ""Информационные технологии в электротехнике и электроэнергетике""";Россия, Чебоксары;05  июня -06  июня ;28  апреля;itee-2014@mail.ru;Чувашский государственный университет имени И.Н. Ульянова;https://konferen.ru/preview/1977
Всероссийский научный конгресс «Педагогическое образование в системе гуманитарного знания»;Россия, Киров;15  мая -16  мая ;30  апреля;hum@vshu.kirov.ru;Вятский государственный гуманитарный университет;https://konferen.ru/preview/1976
"""Субъект и объект познания в проекции образовательных методик и психологических концепций""";Великобритания, Лондон;15  мая -20  мая ;14  мая;info@gisap.eu;Всеукраинский Академический Союз (Украина);https://konferen.ru/preview/1975
"""Рукотворный мир как средство жизнеобеспечения и творческого самовыражения человечества""";Великобритания, Лондон;25  апреля -30  апреля ;24  апреля;info@gisap.eu;Всеукраинский Академический Союз (Украина);https://konferen.ru/preview/1974
"""Пространство, время и материя: эволюционная гармония или упорядоченный хаос""";Великобритания, Лондон;09  апреля -14  марта ;08  апреля;info@gisap.eu;Всеукраинский Академический Союз (Украина);https://konferen.ru/preview/1972
"Международная научная конференция ""Авангард социально-гуманитарной науки. Ведущие научные школы"" [РИНЦ]";Россия, Челябинск;22  марта -23  марта ;21  марта;info@meteor-city.com;Издательство Метеор-Сити / meteor-city.com;https://konferen.ru/preview/1971
Международная заочная конференция для студентов и школьников «Перспективы развития образования в России и мире»;Россия, Челябинск;28  марта -29  марта ;27  марта;meteor-city@inbox.ru;Издательство Метеор-Сити / meteor-city.com;https://konferen.ru/preview/1970
"Научная конференция ""Проблемы лингвистического краеведения""";Россия, Пермь;18  декабря -19  декабря ;15  сентября;kafrussyaz@mail.ru;Пермский государственный гуманитарно-педагогический университет, кафедра русского языка;https://konferen.ru/preview/1969
Дополнительное профессиональное образование: признание качества и доверие потребителе на российском и международном рынке;Россия, Ярославль;14  мая -16  мая ;12  мая;konference@gapm.ru;Союз руководителей учреждений и подразделений дополнительного профессионального образования и работодателей;https://konferen.ru/preview/1968
«Современные проблемы исследования биоразнообразия растительных и животных сообществ и пути их сохранения»;Россия, Южно-Сахалинск;14  октября -16  октября ;01  июня;kafedra_315@mail.ru;Сахалинский  государственный университет;https://konferen.ru/preview/1967
Международная научно-практическая конференция «Пища. экология. качество»;Россия, Екатеринбург;20  марта -12  апреля ;20  марта;kafedrapitaniy@mail.ru;Сибирский научно-исследовательский институт переработки сельскохозяйственной продукции;https://konferen.ru/preview/1966
Современные образовательные технологии и методы их эффективной реализации;Россия, Санкт-Петербург;12  мая -16  мая ;02  мая;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1965
Практический семинар-совещание «Подготовка конкурсной документации инновационных проектов для получения господдержки»;Россия, Москва;20  марта -20  марта ;19  марта;pavel@ano-info.ru;Центр информационно-аналитической и правовой поддержки органов исполнительной власти и правоохранительных структур;https://konferen.ru/preview/1953
Международная научная конференция «Теоретические и практические аспекты научных исследований - 2014»;Украина, Киев;30  апреля -30  апреля ;30  апреля;naukovakonferencia@mail.ru;"НПО ""Миранда""";https://konferen.ru/preview/1952
Электронный научный журнал «Вестник СМУС74»;Россия, Челябинск;15  апреля -15  апреля ;15  апреля;vestnik.smus74@gmail.com;Совет молодых учёных и специалистов Челябинской области;https://konferen.ru/preview/1950
Рецензируемый междисциплинарный научный журнал «Управление в современных системах»;Россия, Челябинск;15  апреля -15  апреля ;15  апреля;redactor@inueco.ru;"ЧОУ ВПО ""ЮУИУиЭ""";https://konferen.ru/preview/1949
"Семинар ""Критерии эффективности работы аспирантуры и докторантуры в условиях реформирования ВПО""";Россия, Санкт-Петербург;12  мая -15  мая ;12  мая;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1948
"XIII-я Международная конференция ""Современный физический практикум""";Россия, Новосибирск;23  сентября -25  сентября ;20  апреля;sfp@opprib.ru;Новосибирский государственный технический университет;https://konferen.ru/preview/1947
8-я Международная дистанционная научная конференция «Современная наука: актуальные проблемы и пути их решения»;Россия, Липецк;03  апреля -04  апреля ;03  апреля;nfinnovate@yandex.ru;ГНУ ВНИИТиН Россельхозакадемии;https://konferen.ru/preview/1946
"Семинар ""Актуальные аспекты развития современной системы дополнительного профессионального образования""";Россия, Санкт-Петербург;12  мая -15  мая ;12  мая;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1945
"Семинар ""Управление хореографическим образованием""";Россия, Москва;15  апреля -18  апреля ;07  апреля;client@cntiprogress.ru;ЦНТИ «Прогресс»;https://konferen.ru/preview/1944
II Международная научно-практическая конференция «Актуальные вопросы экономики и финансов в условиях современных вызовов российского и мирового хозяйства»;Россия, Самара;25  марта -25  марта ;23  марта;oleg442@list.ru;Самарский институт – Высшая школа приватизации и предпринимательства;https://konferen.ru/preview/1943
VIII Международная научно-практическая конференция Управление инновациями: теория, методология, практика (РИНЦ);Россия, Новосибирск;31  марта -31  марта ;31  марта;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1938
II Международная конференция «Философия и психотерапия»;Россия, Санкт-Петербург;31  мая -01  июня ;20  марта;av@appme.ru;;https://konferen.ru/preview/1937
Межвузовская студенческая научно-практическая конференция  «Актуальные вопросы юридической науки, права и правосудия»;Россия, Нижний Новгород;26  апреля -26  апреля ;14  апреля;pfrap-nauka@yandex.ru;"ПФ ФГБОУВПО ""РАП"", студенческое научное общество ""Фемида""";https://konferen.ru/preview/1936
2-я международная научно-техническая конференция «Динамика и виброакустика машин 2014»;Россия, Самара;15  сентября -17  сентября ;15  марта;confdvm@ssau.ru;Самарский государственный аэрокосмический университет имени академика С.П.Королёва;https://konferen.ru/preview/1934
Всероссийская молодежная научно-практическая конференция «Начало в науке»;Россия, Уфа;18  апреля -19  апреля ;31  марта;konfinefb2014@yandex.ru;Башкирский государственный университет, Институт экономики, финансов и бизнеса;https://konferen.ru/preview/1933
Имущественный комплекс образовательного учреждения: проблемные вопросы владения и распоряжения;Россия, Санкт-Петербург;22  апреля -25  апреля ;21  апреля;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1932
"Научная конференция ""Безопасность и развитие личности в образовании""";Россия, Таганрог;15  мая -17  мая ;10  апреля;confer2014sfu@inbox.ru;Южный федеральный университет, Управление образования г. Таганрога;https://konferen.ru/preview/1924
Модернизация образования и воспитания в современном обществе: проблемы, подходы, возможности, перспективы;Россия, Ростов-на-Дону;25  марта -26  марта ;24  февраля;konf-sb@yandex.ru;"Научно-исследовательский центр ""Summa Rerum""";https://konferen.ru/preview/1922
"III Международная научная Интернет - конференция с международным участием ""Инновация в образовании. Современная психология в обучении""";Россия, Казань;07  октября -07  октября ;20  сентября;pedagogy2014@paxgrid.ru;Сервис виртуальных конференций Pax Grid;https://konferen.ru/preview/1920
"III Международная научная Интернет - конференция ""Математическое и компьютерное моделирование в биологии и химии""";Россия, Казань;25  сентября -25  сентября ;10  сентября;chembiomod2014@paxgrid.ru;http://paxgrid.ru/conference/index.php?c=chembiomod2014;https://konferen.ru/preview/1919
"II Всероссийская научная Интернет - конференция с международным участием ""Спектрометрические методы анализа""";Россия, Казань;23  сентября -23  сентября ;08  сентября;spectro2014@paxgrid.ru;Сервис виртуальных конференций Pax Grid;https://konferen.ru/preview/1918
"II Всероссийская Интернет - конференция с международным участием ""Современные системы искусственного интеллекта и их приложения в науке""";Россия, Казань;14  мая -14  мая ;20  апреля;ai2014@paxgrid.ru;Сервис виртуальных конференций Pax Grid;https://konferen.ru/preview/1917
"II Всероссийская Интернет - конференция с международным участием ""Нанотехнология в теории и практике""";Россия, Казань;06  мая -06  мая ;07  апреля;nanotech2014@paxgrid.ru;Сервис виртуальных конференций Pax Grid;https://konferen.ru/preview/1916
"II Всероссийская профессиональная конференция ""Современное развитие малого бизнеса""";Россия, Челябинск;17  апреля -17  апреля ;24  марта;conf-chiep@mail.ru;"НОУ ВПО ""Челябинский институт экономики и права им. М.В.Ладошина""";https://konferen.ru/preview/1914
Международная (дистанционная) олимпиада по международному частному праву;Россия, Казань;22  марта -27  марта ;21  марта;ontvor@yandex.ru;Общество Науки и Творчества;https://konferen.ru/preview/1910
Международная (дистанционная) олимпиада по политологии;Россия, Казань;20  марта -25  марта ;19  марта;ontvor@yandex.ru;Общество Науки и Творчества;https://konferen.ru/preview/1909
Международная (дистанционная) олимпиада по налогам и налоговому праву;Россия, Казань;15  марта -20  марта ;14  марта;ontvor@yandex.ru;Общество Науки и Творчества;https://konferen.ru/preview/1908
X Международная (заочная) научно – практическая конференция по всем наукам «Интеграционные процессы развития мировой научной мысли в XXI веке»;Россия, Казань;29  марта -29  марта ;28  марта;ontvor@yandex.ru;Общество Науки и Творчества;https://konferen.ru/preview/1907
ХI Международная научно-практическая конференция Фундаментальные и прикладные исследования: проблемы и результаты (РИНЦ);Россия, Новосибирск;18  марта -18  марта ;18  марта;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1905
ХVII Международная научно-практическая конференция Перспективы развития информационных  технологий  (РИНЦ);Россия, Новосибирск;07  марта -07  марта ;07  марта;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1904
Международная научно-практическая конференция «Перспективы развития гражданской авиации России (Авиатранс – 2014)»;Россия, Ростов;19  июня -21  июня ;01  июня;rfmgtuga@yandex.ru;Ростовский филиал Московского государственного технического университета гражданской авиации;https://konferen.ru/preview/1902
X Международная (заочная) научно – практическая конференция «Инновационные преобразования в экономике: перспективные направления развития»;Россия, Казань;28  марта -28  марта ;27  марта;ontvor@yandex.ru;Общество Науки и Творчества;https://konferen.ru/preview/1901
X Международная (заочная) научно – практическая конференция «Юридические науки как основа формирования правовой культуры современного человека»;Россия, Казань;25  марта -25  марта ;24  марта;ontvor@tandex.ru;Общество Науки и Творчества;https://konferen.ru/preview/1899
Международная научная конференция «Пищевые инновации и биотехнологии»;Россия, Кемерово;29  апреля -29  апреля ;24  марта;forum-kemtipp@mail.ru;Кемеровский технологический институт пищевой промышленности;https://konferen.ru/preview/1897
III (XLIII) Международная научно-практическая конференция «Наука будущего: вопросы и гипотезы»;Украина, Горловка;20  марта -21  марта ;17  марта;sconference@sconference.org;Центр научный инициатив;https://konferen.ru/preview/1896
"VII Международная научная конференция ""Столицы в контексте информационного общества""";Казахстан, Астана;26  июня -27  июня ;01  мая;astana-zertteu@mail.ru;Акимат города Астаны, ОО «Казахстанский Философский Конгресс» и Общественный фонд «Астана-Зерттеу»;https://konferen.ru/preview/1895
Дистанционное обучение: организация, управление и методология оценки качества;Россия, Санкт-Петербург;21  апреля -25  апреля ;18  апреля;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1894
IV ежегодная международная научно-практическая конференция Биофармкластера «Северный»;Россия, Долгопрудный;29  мая -30  мая ;23  мая;conference@pharmcluster.ru;Биофармкластера «Северный» , МФТИ;https://konferen.ru/preview/1893
Оплата труда преподавателей и руководителей вузов и учреждений СПО. Новые правила начисления стипендий;Россия, Санкт-Петербург;26  апреля -29  апреля ;18  апреля;client@cntiprogress.ru;ЦНТИ «Прогресс»;https://konferen.ru/preview/1892
Региональная студенческая научно – практическая конференция    «Природно-ресурсный потенциал Прикаспия и сопредельных территорий: проблемы его рационального использования».;Россия, Элиста;24  апреля -25  апреля ;01  апреля;smm54724@yandex.ru;«Калмыцкий государственный университет» Инженерно - технологический факультет;https://konferen.ru/preview/1891
Развитие биологических видов и процессов их жизнеобеспечения через призму естественной эволюции и целесообразности;Великобритания, Лондон;21  марта -26  марта ;20  марта;office@gisap.eu;Международная Академия Наук и Высшего Образования (Великобритания);https://konferen.ru/preview/1890
Многотомная коллективная монография «Наука сегодня: теория, практика, инновации» (т. 4) [РИНЦ];Россия, Ростов-на-Дону;16  июня -16  июня ;31  марта;IRC@sci-cooperation.ru;"ООО МИЦ ""Научное сотрудничество""";https://konferen.ru/preview/1888
Проблемы и перспективы развития социально-экономических и общественных наук: психология, экономика, педагогика, социология, юриспруденция, политология [РИНЦ];Россия, Ростов-на-Дону;24  марта -24  марта ;24  марта;IRC@sci-cooperation.ru;"ООО МИЦ ""Научное сотрудничество""";https://konferen.ru/preview/1886
Проблемы и перспективы развития современной гуманитаристики: история, филология, философия, искусствоведение, культурология [РИНЦ];Россия, Ростов-на-Дону;24  марта -24  марта ;24  марта;IRC@sci-cooperation.ru;"OOO МИЦ ""Научное сотрудничество""";https://konferen.ru/preview/1885
III Международная дистанционная научно-практическая конференция молодых ученых «Сайнс-проекты молодых ученых - 2014» [РИНЦ];Россия, Ростов-на-Дону;30  апреля -30  апреля ;30  апреля;anna.bondarenko@sci-cooperation.ru;"ООО МИЦ ""Научное сотрудничество""";https://konferen.ru/preview/1884
XIII Всероссийская научно-практическая конференция «Поленовские чтения». Образовательный курс WFNS;Россия, Санкт-Петербург;15  апреля -18  апреля ;23  февраля;ph@peterlink.ru;(812)  380-31-52, 380-31-53, 380-31-54;https://konferen.ru/preview/1882
II Международная научно-практическая конференция «Экономика в условиях глобализации: проблемы, тенденции, перспективы»;Украина, Днепропетровск;17  марта -20  марта ;17  марта;Olik_Sylaeva@mail.ru;"(056-2) 47-24-49; (067)-970-00-01";https://konferen.ru/preview/1880
XLVII Международная научно-техническая конференция преподавателей и студентов;Беларусь, Витебск;23  апреля -24  апреля ;05  апреля;vstu@vitebsk.by;Витебский государственный технологический университет;https://konferen.ru/preview/1879
Семинар «Теоретико — методологические основания воспитательного процесса в вузе»;Беларусь, Витебск;23  мая -23  мая ;01  апреля;vstu@vitebsk.by;Витебский государственный технологический университет;https://konferen.ru/preview/1878
IV-я всероссийская научно-практическая конференция молодых ученых и специалистов «Обеспечение эффективного функционирования газовой отрасли»;Россия, Новый Уренгой;09  апреля -10  апреля ;21  февраля;gazforum@mail.ru;Ученый Совет Ямало-Ненецкого автономного округа;https://konferen.ru/preview/1877
"Семинар ""Образовательные системы Евросоюза: перспективы сотрудничества и развития""";Чехия, Прага;07  мая -18  мая ;15  апреля;a.n.latyshev@gmail.com;Карлов Университет в Праге;https://konferen.ru/preview/1876
5-я Международная научно-практическая конференция «Научные аспекты инновационных исследований»;Россия, Самара;05  марта -07  марта ;03  февраля;tezis@na-conference.ru;"Научно-издательский центр ""Аспект""";https://konferen.ru/preview/1875
ХVII Международная научно-практическая конференция Перспективы развития  информационных  технологий (РИНЦ);Россия, Новосибирск;07  марта -07  марта ;07  марта;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1873
Международная научно-практическая конференция  «Образование в ХХI веке: путь к новым кризисам?»;Россия, Саратов;20  марта -20  марта ;20  марта;conferent8@yandex.ru;Саратовский государственный технический университет;https://konferen.ru/preview/1871
Современная методика преподавания предметов естественнонаучного цикла: школа-вуз;Россия, Москва;21  марта -21  марта ;04  марта;andreitimofeev73@mail.ru;ГБОУ СОШ № 351 г. Москва;https://konferen.ru/preview/1870
Всеукраинская научная конференция с международным участием «Современное состояние и перспективы лингвистических исследований и проблемы перевода»;Украина, Житомир;16  мая -17  мая ;01  марта;conference@nniif.org.ua;Житомирский государственный университет имени Ивана Франко;https://konferen.ru/preview/1868
Научный журнал по тюркологии «Гази Туркият»;Турция, Анкара;18  февраля -11  сентября ;15  августа;gaziturkiyat@gmail.com;http://turkiyat@gazi.edu.tr;https://konferen.ru/preview/1867
Инновационные технологии продвижения вуза на рынке образовательных услуг;Россия, Новосибирск;10  апреля -12  апреля ;10  апреля;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1865
Организация и ведение охранных археологических работ: выявление, исследование и обеспечение сохранности объектов археологического наследия;Россия, Санкт-Петербург;07  апреля -11  апреля ;04  апреля;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1864
"""Историко-педагогический журнал"" [РИНЦ]";Россия, Нижний Тагил;17  февраля -07  марта ;07  марта;hp-journal@mail.ru;Нижнетагильская государственная социально-педагогическая академия;https://konferen.ru/preview/1862
"Международная научно-практическая Интернет – конференция: ""Актуальные проблемы развития современной экономики""";Украина, Днепропетровск;13  марта -14  марта ;12  марта;conf.at.ua@gmail.com;Научный журнал «ЭКОНОМИКА И ФИНАНСЫ» (Украина);https://konferen.ru/preview/1861
XV Международная научно-практическая конференция Экономика и управление  в XXI веке:   тенденции развития (РИНЦ);Россия, Новосибирск;07  марта -07  марта ;07  марта;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1860
"Международная научно-практическая конференция ""Дальневосточная весна-2014""";Россия, Комсомольск-на-Амуре;15  февраля -10  мая ;10  мая;DV.VESNA2014@mail.ru;Комсомольский-на-Амуре государственный технический университет;https://konferen.ru/preview/1857
"Международная научная конференция студентов и молодых учёных ""Культура. Общество. Духовность"", посвященная году культуры в России";Россия, Челябинск;25  марта -25  марта ;10  марта;n-loreleya@list.ru;Южно-Уральский государственный медицинский университет;https://konferen.ru/preview/1855
Международная конференция по арт-терапии  «Современная социальная и клиническая арт-терапия: новые горизонты и возможности»;Россия, Москва;11  апреля -13  апреля ;11  апреля;trainingsprof1@mail.ru;НОУ Московский городской институт современных психологических технологий;https://konferen.ru/preview/1849
