Название гранта;Дедлайн;Ссылка
Стипендиальная программа Estophilus scholarship;" 2 мая 2021
Стипендиальная программа Estophilus scholarship предназначена иностранным студентам, которые обучаются в магистратуре, аспирантуре и постдокам из зарубежных университетов, которые пребывают в Эстонии с целью проведения исследований и/или сборов материалов об Эстонии. ";https://st-gr.com/?p=2585
Обучение на программах развития в Германии (DAAD);" 1 марта 2021
DAAD предлагает стипендию от 850€ до 1200€ в месяц, также оплату страховки (медицинскую и от несчастных случаев) и проезда в Германию.";https://st-gr.com/?p=2003
Стипендия университета University of Saskatchewan, Канада;" 22 февраля 2021
Стипендия на исследования студентам магистратуры и аспирантуры";https://st-gr.com/?p=8219
Международная стипендиальная программа правительства Венгрии — ФАО;" 28 февраля 2021
Правительство Венгрии предлагает стипендии иностранным студентам на обучение в магистратуре. ";https://st-gr.com/?p=254
Стипендии университета Ghent University, Бельгия, студентам из развивающихся стран.;" 1 марта 2021
Гентский университет (Ghent University) предлагает стипендии студентам магистратуры из развивающихся стран.";https://st-gr.com/?p=1141
Грант на обучение за границей;" 5 февраля 2021
Грант на обучение в магистратуре университета University of Tsukuba на программе Master’s Program in Economic.";https://st-gr.com/?p=236
Стипендия МВА для женщин;" 18 июня 2021
Imperial College Business School предлагает женщинам стипендию Forte Foundation Scholarship для обучения на программе МВА.";https://st-gr.com/?p=457
Стипендия иностранным студентам бизнес-школы Delaware Law School;" —
Полная оплата обучения иностранным студентам магистратуры.";https://st-gr.com/?p=3210
Стипендия для иностранных студентов университета Xiamen University;" 15 апреля 2021
Университет Xiamen University предлагает 24 стипендии иностранным студентам, поступающим на одну из программ бакалавриата, магистратуры или аспирантуры университета. ";https://st-gr.com/?p=379
Грант Holland Scholarship;" 1 февраля, 1 мая 2021
Грант 5000€ иностранным студентам, желающим обучаться в Нидерландах.";https://st-gr.com/?p=3386
Стипендиальная программа Estophilus scholarship;" 2 мая 2021
Стипендиальная программа Estophilus scholarship предназначена иностранным студентам, которые обучаются в магистратуре, аспирантуре и постдокам из зарубежных университетов, которые пребывают в Эстонии с целью проведения исследований и/или сборов материалов об Эстонии. ";https://st-gr.com/?p=2585
Обучение на программах развития в Германии (DAAD);" 1 марта 2021
DAAD предлагает стипендию от 850€ до 1200€ в месяц, также оплату страховки (медицинскую и от несчастных случаев) и проезда в Германию.";https://st-gr.com/?p=2003
Стипендия университета University of Saskatchewan, Канада;" 22 февраля 2021
Стипендия на исследования студентам магистратуры и аспирантуры";https://st-gr.com/?p=8219
Международная стипендиальная программа правительства Венгрии — ФАО;" 28 февраля 2021
Правительство Венгрии предлагает стипендии иностранным студентам на обучение в магистратуре. ";https://st-gr.com/?p=254
Стипендии университета Ghent University, Бельгия, студентам из развивающихся стран.;" 1 марта 2021
Гентский университет (Ghent University) предлагает стипендии студентам магистратуры из развивающихся стран.";https://st-gr.com/?p=1141
Грант на обучение за границей;" 5 февраля 2021
Грант на обучение в магистратуре университета University of Tsukuba на программе Master’s Program in Economic.";https://st-gr.com/?p=236
Стипендия МВА для женщин;" 18 июня 2021
Imperial College Business School предлагает женщинам стипендию Forte Foundation Scholarship для обучения на программе МВА.";https://st-gr.com/?p=457
Полная стипендия студентам аспирантуры университета NUI Galway, Ирландия.;" 12 февраля 2021
Стипендия оплачивает обучение и сборы, также предоставляет финансовое пособие 16000€.";https://st-gr.com/?p=3452
Обучение в Италии;" 7 марта 2021
Galilean School of Higher Education Падуанского университета предлагает стипендии иностранным студентам на обучение на 2-х годичных программах магистратуры университета (Second Cycle Degree, Laurea Magistrale). ";https://st-gr.com/?p=1368
Стипендии университета в Китае;" 31 марта 2021
Университет University of Electronic Science and Technology of China предлагает полные и частичные стипендии  иностранным студентам магистратуры и аспирантуры.";https://st-gr.com/?p=3338
Программа устойчивого территориального развития со стипендией;" 21 марта 2021
24 000€ студентам программы магистратуры области территориального устойчивого развития. Обучение длится 2 года, студенты будут обучаться в разных Европейских вузах.";https://st-gr.com/?p=2904
Президентские стипендии университета Concordia University;" 1 февраля 2021
Университет Concordia University предлагает полные стипендии студентам бакалавриата";https://st-gr.com/?p=8126
Обучение в бакалавриате в США со стипендией;" 15 февраля 2021
Университет Illinois Wesleyan University предлагает несколько вариантов стипендий иностранным студентам бакалавриата";https://st-gr.com/?p=8110
Стипендия университета University of Helsinki, Финляндия;" разный для разных программ
Полная и частичная стипендия иностранным студентам магистратуры университета University of Helsinki ";https://st-gr.com/?p=3203
Стипендии студентам из развивающихся стран от организации Wells Mountain Foundation;" 1 марта 2021
Организация Wells Mountain Foundation через программу Empowerment Through Education предлагает стипендии студентам из развивающихся стран на обучение в их родной стране или в в другой развивающейся стране.";https://st-gr.com/?p=327
Стипендия LExS университета  Leiden University;" 1 февраля 2021
Стипендия предоставляется иностранным студентам магистратуры, при условии обучения на очной программе магистратуры.";https://st-gr.com/?p=8079
Олимпиада НИУ ВШЭ для студентов и выпускников;" 21 февраля 2021
Университет «Высшая школа экономики» предлагает Олимпиаду для желающих обучаться в магистратуре университета";https://st-gr.com/?p=6311
Стипендия иностранным студентам бизнес-школы Delaware Law School;" —
Полная оплата обучения иностранным студентам магистратуры.";https://st-gr.com/?p=3210
Стипендия для иностранных студентов университета Xiamen University;" 15 апреля 2021
Университет Xiamen University предлагает 24 стипендии иностранным студентам, поступающим на одну из программ бакалавриата, магистратуры или аспирантуры университета. ";https://st-gr.com/?p=379
Грант Holland Scholarship;" 1 февраля, 1 мая 2021
Грант 5000€ иностранным студентам, желающим обучаться в Нидерландах.";https://st-gr.com/?p=3386
Стипендиальная программа Estophilus scholarship;" 2 мая 2021
Стипендиальная программа Estophilus scholarship предназначена иностранным студентам, которые обучаются в магистратуре, аспирантуре и постдокам из зарубежных университетов, которые пребывают в Эстонии с целью проведения исследований и/или сборов материалов об Эстонии. ";https://st-gr.com/?p=2585
Обучение на программах развития в Германии (DAAD);" 1 марта 2021
DAAD предлагает стипендию от 850€ до 1200€ в месяц, также оплату страховки (медицинскую и от несчастных случаев) и проезда в Германию.";https://st-gr.com/?p=2003
Стипендия университета University of Saskatchewan, Канада;" 22 февраля 2021
Стипендия на исследования студентам магистратуры и аспирантуры";https://st-gr.com/?p=8219
Международная стипендиальная программа правительства Венгрии — ФАО;" 28 февраля 2021
Правительство Венгрии предлагает стипендии иностранным студентам на обучение в магистратуре. ";https://st-gr.com/?p=254
Стипендии университета Ghent University, Бельгия, студентам из развивающихся стран.;" 1 марта 2021
Гентский университет (Ghent University) предлагает стипендии студентам магистратуры из развивающихся стран.";https://st-gr.com/?p=1141
Грант на обучение за границей;" 5 февраля 2021
Грант на обучение в магистратуре университета University of Tsukuba на программе Master’s Program in Economic.";https://st-gr.com/?p=236
Стипендия МВА для женщин;" 18 июня 2021
Imperial College Business School предлагает женщинам стипендию Forte Foundation Scholarship для обучения на программе МВА.";https://st-gr.com/?p=457
Полная стипендия студентам аспирантуры университета NUI Galway, Ирландия.;" 12 февраля 2021
Стипендия оплачивает обучение и сборы, также предоставляет финансовое пособие 16000€.";https://st-gr.com/?p=3452
Обучение в Италии;" 7 марта 2021
Galilean School of Higher Education Падуанского университета предлагает стипендии иностранным студентам на обучение на 2-х годичных программах магистратуры университета (Second Cycle Degree, Laurea Magistrale). ";https://st-gr.com/?p=1368
Стипендии университета в Китае;" 31 марта 2021
Университет University of Electronic Science and Technology of China предлагает полные и частичные стипендии  иностранным студентам магистратуры и аспирантуры.";https://st-gr.com/?p=3338
Программа устойчивого территориального развития со стипендией;" 21 марта 2021
24 000€ студентам программы магистратуры области территориального устойчивого развития. Обучение длится 2 года, студенты будут обучаться в разных Европейских вузах.";https://st-gr.com/?p=2904
Президентские стипендии университета Concordia University;" 1 февраля 2021
Университет Concordia University предлагает полные стипендии студентам бакалавриата";https://st-gr.com/?p=8126
Обучение в бакалавриате в США со стипендией;" 15 февраля 2021
Университет Illinois Wesleyan University предлагает несколько вариантов стипендий иностранным студентам бакалавриата";https://st-gr.com/?p=8110
Стипендия университета University of Helsinki, Финляндия;" разный для разных программ
Полная и частичная стипендия иностранным студентам магистратуры университета University of Helsinki ";https://st-gr.com/?p=3203
Стипендии студентам из развивающихся стран от организации Wells Mountain Foundation;" 1 марта 2021
Организация Wells Mountain Foundation через программу Empowerment Through Education предлагает стипендии студентам из развивающихся стран на обучение в их родной стране или в в другой развивающейся стране.";https://st-gr.com/?p=327
Стипендия LExS университета  Leiden University;" 1 февраля 2021
Стипендия предоставляется иностранным студентам магистратуры, при условии обучения на очной программе магистратуры.";https://st-gr.com/?p=8079
Олимпиада НИУ ВШЭ для студентов и выпускников;" 21 февраля 2021
Университет «Высшая школа экономики» предлагает Олимпиаду для желающих обучаться в магистратуре университета";https://st-gr.com/?p=6311
Бесплатное обучение на программе бакалавриата в США;" 15 января 2021
Университет University of Oregon предлагает стипендию International Cultural Service Program иностранным студентам бакалавриата.  ";https://st-gr.com/?p=8076
Полностью оплачиваемая программа обмена студентами — Global UGRAD;" 28 февраля 2021
Global UGRAD предлагает стипендию на один семестр выдающимся студентам бакалавриата из разных стран мира. Все расходы оплачивают организаторы. ";https://st-gr.com/?p=2812
Гранты Visegrad;" 1 февраля 2021
Visegrad и Visegrad+ и Стратегические гранты покрывают до 100% бюджета проекта гражданской или общенациональной организации";https://st-gr.com/?p=6842
Международный конкурс SkyPixel;" 18 февраля 2021
Международный конкурс видео и фото, сделанных при помощь дрона или квадрокоптера";https://st-gr.com/?p=8024
Стажировка в области устойчивого развития Green Institute 2021;" 19 января 2021
Онлайн стажировка с возможностью получить грант 1000 USD";https://st-gr.com/?p=8019
Стипендия университета University of Tampere, Финляндия;" 13/20 января 2021
Полные и частичные стипендии иностранным студентам магистратуры.";https://st-gr.com/?p=3228
Стипендия «Лидер завтрашнего дня» университета University of British Columbia;" 5 января 2021
Стипендия для иностранных студентов, поступающих в бакалавриат университета University of British Columbia";https://st-gr.com/?p=7987
Стипендия иностранным студентам университета Geneva Academy, Швейцария;" 26 января 2021
Полные и частичные стипендии иностранным студентам магистратуры.";https://st-gr.com/?p=3074
Стипендия Азиатского Банка Развития и правительства Японии ADB-JSP;" —
Ежегодно Азиатский Банк Развития (ADB) совместно с правительством Японии предлагает 150 стипендий ADB-JSP студентам магистрам и аспирантам,  желающим обучаться в университетах Тихоокеанского региона.";https://st-gr.com/?p=850
Стипендии Шведского института для глобальных профессионалов;" 15 января 2021
Полная стипендия для профессионалов на обучение в магистратуре в Швеции";https://st-gr.com/?p=7942
Полная стипендия студентам аспирантуры университета NUI Galway, Ирландия.;" 12 февраля 2021
Стипендия оплачивает обучение и сборы, также предоставляет финансовое пособие 16000€.";https://st-gr.com/?p=3452
Обучение в Италии;" 7 марта 2021
Galilean School of Higher Education Падуанского университета предлагает стипендии иностранным студентам на обучение на 2-х годичных программах магистратуры университета (Second Cycle Degree, Laurea Magistrale). ";https://st-gr.com/?p=1368
Стипендии университета в Китае;" 31 марта 2021
Университет University of Electronic Science and Technology of China предлагает полные и частичные стипендии  иностранным студентам магистратуры и аспирантуры.";https://st-gr.com/?p=3338
Программа устойчивого территориального развития со стипендией;" 21 марта 2021
24 000€ студентам программы магистратуры области территориального устойчивого развития. Обучение длится 2 года, студенты будут обучаться в разных Европейских вузах.";https://st-gr.com/?p=2904
Президентские стипендии университета Concordia University;" 1 февраля 2021
Университет Concordia University предлагает полные стипендии студентам бакалавриата";https://st-gr.com/?p=8126
Обучение в бакалавриате в США со стипендией;" 15 февраля 2021
Университет Illinois Wesleyan University предлагает несколько вариантов стипендий иностранным студентам бакалавриата";https://st-gr.com/?p=8110
Стипендия университета University of Helsinki, Финляндия;" разный для разных программ
Полная и частичная стипендия иностранным студентам магистратуры университета University of Helsinki ";https://st-gr.com/?p=3203
Стипендии студентам из развивающихся стран от организации Wells Mountain Foundation;" 1 марта 2021
Организация Wells Mountain Foundation через программу Empowerment Through Education предлагает стипендии студентам из развивающихся стран на обучение в их родной стране или в в другой развивающейся стране.";https://st-gr.com/?p=327
Стипендия LExS университета  Leiden University;" 1 февраля 2021
Стипендия предоставляется иностранным студентам магистратуры, при условии обучения на очной программе магистратуры.";https://st-gr.com/?p=8079
Олимпиада НИУ ВШЭ для студентов и выпускников;" 21 февраля 2021
Университет «Высшая школа экономики» предлагает Олимпиаду для желающих обучаться в магистратуре университета";https://st-gr.com/?p=6311
Полная стипендия студентам аспирантуры университета NUI Galway, Ирландия.;" 12 февраля 2021
Стипендия оплачивает обучение и сборы, также предоставляет финансовое пособие 16000€.";https://st-gr.com/?p=3452
Обучение в Италии;" 7 марта 2021
Galilean School of Higher Education Падуанского университета предлагает стипендии иностранным студентам на обучение на 2-х годичных программах магистратуры университета (Second Cycle Degree, Laurea Magistrale). ";https://st-gr.com/?p=1368
Стипендии университета в Китае;" 31 марта 2021
Университет University of Electronic Science and Technology of China предлагает полные и частичные стипендии  иностранным студентам магистратуры и аспирантуры.";https://st-gr.com/?p=3338
Программа устойчивого территориального развития со стипендией;" 21 марта 2021
24 000€ студентам программы магистратуры области территориального устойчивого развития. Обучение длится 2 года, студенты будут обучаться в разных Европейских вузах.";https://st-gr.com/?p=2904
Президентские стипендии университета Concordia University;" 1 февраля 2021
Университет Concordia University предлагает полные стипендии студентам бакалавриата";https://st-gr.com/?p=8126
Обучение в бакалавриате в США со стипендией;" 15 февраля 2021
Университет Illinois Wesleyan University предлагает несколько вариантов стипендий иностранным студентам бакалавриата";https://st-gr.com/?p=8110
Стипендия университета University of Helsinki, Финляндия;" разный для разных программ
Полная и частичная стипендия иностранным студентам магистратуры университета University of Helsinki ";https://st-gr.com/?p=3203
Стипендии студентам из развивающихся стран от организации Wells Mountain Foundation;" 1 марта 2021
Организация Wells Mountain Foundation через программу Empowerment Through Education предлагает стипендии студентам из развивающихся стран на обучение в их родной стране или в в другой развивающейся стране.";https://st-gr.com/?p=327
Стипендия LExS университета  Leiden University;" 1 февраля 2021
Стипендия предоставляется иностранным студентам магистратуры, при условии обучения на очной программе магистратуры.";https://st-gr.com/?p=8079
Олимпиада НИУ ВШЭ для студентов и выпускников;" 21 февраля 2021
Университет «Высшая школа экономики» предлагает Олимпиаду для желающих обучаться в магистратуре университета";https://st-gr.com/?p=6311
Бесплатное обучение на программе бакалавриата в США;" 15 января 2021
Университет University of Oregon предлагает стипендию International Cultural Service Program иностранным студентам бакалавриата.  ";https://st-gr.com/?p=8076
Полностью оплачиваемая программа обмена студентами — Global UGRAD;" 28 февраля 2021
Global UGRAD предлагает стипендию на один семестр выдающимся студентам бакалавриата из разных стран мира. Все расходы оплачивают организаторы. ";https://st-gr.com/?p=2812
Гранты Visegrad;" 1 февраля 2021
Visegrad и Visegrad+ и Стратегические гранты покрывают до 100% бюджета проекта гражданской или общенациональной организации";https://st-gr.com/?p=6842
Международный конкурс SkyPixel;" 18 февраля 2021
Международный конкурс видео и фото, сделанных при помощь дрона или квадрокоптера";https://st-gr.com/?p=8024
Стажировка в области устойчивого развития Green Institute 2021;" 19 января 2021
Онлайн стажировка с возможностью получить грант 1000 USD";https://st-gr.com/?p=8019
Стипендия университета University of Tampere, Финляндия;" 13/20 января 2021
Полные и частичные стипендии иностранным студентам магистратуры.";https://st-gr.com/?p=3228
Стипендия «Лидер завтрашнего дня» университета University of British Columbia;" 5 января 2021
Стипендия для иностранных студентов, поступающих в бакалавриат университета University of British Columbia";https://st-gr.com/?p=7987
Стипендия иностранным студентам университета Geneva Academy, Швейцария;" 26 января 2021
Полные и частичные стипендии иностранным студентам магистратуры.";https://st-gr.com/?p=3074
Стипендия Азиатского Банка Развития и правительства Японии ADB-JSP;" —
Ежегодно Азиатский Банк Развития (ADB) совместно с правительством Японии предлагает 150 стипендий ADB-JSP студентам магистрам и аспирантам,  желающим обучаться в университетах Тихоокеанского региона.";https://st-gr.com/?p=850
Стипендии Шведского института для глобальных профессионалов;" 15 января 2021
Полная стипендия для профессионалов на обучение в магистратуре в Швеции";https://st-gr.com/?p=7942
Стипендия им. Дона Маккарти университета Glasgow Caledonian University, Великобритания;" 1 декабря 2020
Оплата обучения в магистратуре британской школы моды.";https://st-gr.com/?p=3140
Грант на обучение от Google;" 4 декабря 2020
Google учредил грант на обучение Generation Google Scholarship. Грант был создан с целью поощрить студентов, изучающих технологии и компьютерные науки. ";https://st-gr.com/?p=432
Стипендия Rotary Yoneyama на обучение в Японии;" 15 декабря 2020
Стипендия Rotary Yoneyama предназначена иностранным студентам программ бакалавриата, магистратуры и аспирантуры, которые собираются поступать в университет Японии.";https://st-gr.com/?p=5641
Исследовательская стипендия от Adobe;" 4 декабря 2020
Adobe предлагает исследовательскую стипендию  Adobe Research Fellowship студентам аспирантуры, изучающим науки области STEM.";https://st-gr.com/?p=2781
Международная стипендия в области права, экономики и управления в Нидерландах;" 1 февраля 2021
 Стипендия оплачивает 100% стоимость обучения в магистратуре Утрехтского университета и часть стоимости проживания.";https://st-gr.com/?p=2842
Стипендии университета Linnaeus University;" 15 января 2021
Стипендии иностранным студентам любой магистерской программы университета. ";https://st-gr.com/?p=7805
Стипендия университета Monash University для иностранных студентов;" 15 января 2021
Австралийский университет Monash University предлагает талантливым иностранным студентам бакалавриата, магистратуры и аспирантуры стипендию. ";https://st-gr.com/?p=315
Стипендии университета Duke University, США;"  15 января 2021
Школа Duke Divinity School предлагает стипендии всем студентам, поступившим на обучение на одну из программ: M.Div., M.T.S., M.A.C.P., D.Min., и Th.D. ";https://st-gr.com/?p=2667
Стипендия на обучение в магистратуре GSE Barcelona в Барселоне;" 15 января 2021
Университет GSE Barcelona(Graduate School of Economics) в Барселоне предлагает стипендию студентам магистратуры. ";https://st-gr.com/?p=264
Стипендии университета S P Jain School of Global Management;" —
Университет S P Jain School of Global Management №10 среди Вузов предоставляющих обучение на программе International MBA в рейтинге Forbes. ";https://st-gr.com/?p=359
Стипендия им. Дона Маккарти университета Glasgow Caledonian University, Великобритания;" 1 декабря 2020
Оплата обучения в магистратуре британской школы моды.";https://st-gr.com/?p=3140
Грант на обучение от Google;" 4 декабря 2020
Google учредил грант на обучение Generation Google Scholarship. Грант был создан с целью поощрить студентов, изучающих технологии и компьютерные науки. ";https://st-gr.com/?p=432
Стипендия Rotary Yoneyama на обучение в Японии;" 15 декабря 2020
Стипендия Rotary Yoneyama предназначена иностранным студентам программ бакалавриата, магистратуры и аспирантуры, которые собираются поступать в университет Японии.";https://st-gr.com/?p=5641
Исследовательская стипендия от Adobe;" 4 декабря 2020
Adobe предлагает исследовательскую стипендию  Adobe Research Fellowship студентам аспирантуры, изучающим науки области STEM.";https://st-gr.com/?p=2781
Международная стипендия в области права, экономики и управления в Нидерландах;" 1 февраля 2021
 Стипендия оплачивает 100% стоимость обучения в магистратуре Утрехтского университета и часть стоимости проживания.";https://st-gr.com/?p=2842
Стипендии университета Linnaeus University;" 15 января 2021
Стипендии иностранным студентам любой магистерской программы университета. ";https://st-gr.com/?p=7805
Стипендия университета Monash University для иностранных студентов;" 15 января 2021
Австралийский университет Monash University предлагает талантливым иностранным студентам бакалавриата, магистратуры и аспирантуры стипендию. ";https://st-gr.com/?p=315
Стипендии университета Duke University, США;"  15 января 2021
Школа Duke Divinity School предлагает стипендии всем студентам, поступившим на обучение на одну из программ: M.Div., M.T.S., M.A.C.P., D.Min., и Th.D. ";https://st-gr.com/?p=2667
Стипендия на обучение в магистратуре GSE Barcelona в Барселоне;" 15 января 2021
Университет GSE Barcelona(Graduate School of Economics) в Барселоне предлагает стипендию студентам магистратуры. ";https://st-gr.com/?p=264
Стипендии университета S P Jain School of Global Management;" —
Университет S P Jain School of Global Management №10 среди Вузов предоставляющих обучение на программе International MBA в рейтинге Forbes. ";https://st-gr.com/?p=359
Стипендиальная программа Clarendon  в Великобритании;" январь 2021
Стипендиальная программа Clarendon университета University of Oxford — ежегодная стипендия студентам магистратуры и аспирантуры";https://st-gr.com/?p=2646
Высшее образование в Канаде;" 15 декабря 2020
Полная стипендия на обучение в бакалавриате университета University of British Columbia, Канада.";https://st-gr.com/?p=2989
Полная стипендия на обучение в магистратуре в Амстердаме;" 15 января 2021
Стипендия  на магистерской программе университета University of Amsterdam.";https://st-gr.com/?p=2746
Полная стипендия университета Peking University, Китай;" 4 декабря 2020
Пекинский университет (Peking University) предлагает полную стипендию студентам магистратуры — Yenching Postgraduate Scholarship. ";https://st-gr.com/?p=2599
Стипендия университета Stockholm University, Швеция;" 15 января 2021
Стипендия полностью оплачивает стоимость обучения в магистратуре университета Stockholm University, Швеция.";https://st-gr.com/?p=3298
Программа правительства Японии «Молодые лидеры»;" разный для разных стран
Министерство образования, культуры, спорта, науки и технологии Японии (MEXT) принимает заявки на программу «Молодые лидеры» 2019 – 2020 для госслужащих.";https://st-gr.com/?p=5633
Стипендия университета Roskilde University для студентов магистратуры, которые не являются гражданами стран ЕС/ЕЭЗ;" 15 января 2021
Университет  Roskilde University предлагает стипендию студентам магистратуры, которые не являются гражданами стран ЕС/ЕЭЗ.";https://st-gr.com/?p=273
Полная стипендия университета Lund University, Швеция;" 15 января 2021
2 полных стипендии на обучение на программе магистратуры Industrial Design — Master’s Programme в университете Lund University, Швеция";https://st-gr.com/?p=2919
Стипендия Emile Boutmy Scholarship иностранным студентам;" 6 декабря 2020
Стипендия предназначена студентам, которые впервые поступают в университет на одну из программ бакавриата или магистратуры.";https://st-gr.com/?p=3057
Стипендиальная программа Фонда Потанина;" 20 ноября 2020/15 января 2021
Студенты и преподаватели магистратуры имеют возможность  принять участие в новом цикле стипендиального и грантового конкурсов Стипендиальной программы Владимира Потанина.";https://st-gr.com/?p=6662
Стипендия студентам бакалавриата университета Widener University, США;" —
Университет Уиндер  предлагает лимитированное количество стипендий, полностью оплачивающих обучение в бакалавриате.";https://st-gr.com/?p=2397
Стипендия иностранным студентам колледжа Berea College;" 30 ноября 2020
Берия-колледж (Berea College) предлагает стипендии своим студентам. Стипендия колледжа – помощь в оплате обучения";https://st-gr.com/?p=5630
Полная оплата обучения в магистратуре и аспирантуре во Франции — Eiffel scholarships;" 8 января 2021
Полная стипендия иностранным студентам на обучение в магистратуре и аспирантуре Франции";https://st-gr.com/?p=2973
Стипендия студентам бакалавриата университета Valparaiso University, США;" 15 декабря 2020
Университет Валпараисо (Valparaiso University) предлагает ряд стипендий иностранным студентам бакалавриата. ";https://st-gr.com/?p=2861
Стипендии университета University of Derby, Великобритания;" —
Университет University of Derby предлагает стипендии иностранным студентам бакалавриата, магистратуры и аспирантуры.  ";https://st-gr.com/?p=2787
Стипендия иностранным студентам университета Pace University, США;" —
В 2019 году 72% иностранных студентов университета Pace University получали стипендию или финансовую помощь. ";https://st-gr.com/?p=2468
Стипендия университета Roskilde University для студентов магистратуры, которые не являются гражданами стран ЕС/ЕЭЗ;" 15 января 2021
Университет  Roskilde University предлагает стипендию студентам магистратуры, которые не являются гражданами стран ЕС/ЕЭЗ.";https://st-gr.com/?p=273
Полная стипендия университета Lund University, Швеция;" 15 января 2021
2 полных стипендии на обучение на программе магистратуры Industrial Design — Master’s Programme в университете Lund University, Швеция";https://st-gr.com/?p=2919
Стипендия Emile Boutmy Scholarship иностранным студентам;" 6 декабря 2020
Стипендия предназначена студентам, которые впервые поступают в университет на одну из программ бакавриата или магистратуры.";https://st-gr.com/?p=3057
Стипендиальная программа Фонда Потанина;" 20 ноября 2020/15 января 2021
Студенты и преподаватели магистратуры имеют возможность  принять участие в новом цикле стипендиального и грантового конкурсов Стипендиальной программы Владимира Потанина.";https://st-gr.com/?p=6662
Стипендия студентам бакалавриата университета Widener University, США;" —
Университет Уиндер  предлагает лимитированное количество стипендий, полностью оплачивающих обучение в бакалавриате.";https://st-gr.com/?p=2397
Стипендия иностранным студентам колледжа Berea College;" 30 ноября 2020
Берия-колледж (Berea College) предлагает стипендии своим студентам. Стипендия колледжа – помощь в оплате обучения";https://st-gr.com/?p=5630
Полная оплата обучения в магистратуре и аспирантуре во Франции — Eiffel scholarships;" 8 января 2021
Полная стипендия иностранным студентам на обучение в магистратуре и аспирантуре Франции";https://st-gr.com/?p=2973
